path	verdict	reason
rc-backend/tools/action-readback-census.sh	readback	台帳の TSV を書いた後、其の file を awk で読み直して判定の内訳を印字する。書きっぱなしにしない
rc-backend/tools/delivery-check.sh	not-mutating	launchctl の継ぎ目を持つが list を読むだけ。3 側の版と設定と経路を読み、自分では何も変えない
rc-backend/tools/departure-survivability-check.sh	readback	載せ直した後に launchctl の state を読み、起動できたかを別に確かめる
rc-backend/tools/deploy-observer-to-friday.sh	readback	段 4『一致したか(独立の測り手)』で observer-parity-check を撃ち、一致しなければ rollback する
rc-backend/tools/deploy-to-edith.sh	readback	配った後に遠隔の状態を読み直す段を持つ(launchctl と file の両方)
rc-backend/tools/edith-gui-run.sh	readback	遠隔の launchd に載せた後、rc file が出るまで待って終了コードを持ち帰り、残骸の有無も読む
rc-backend/tools/fleet-plist-parity-check.sh	readback	遠隔の plist を読み直して手元と突き合わせる。読めなければ『一致』と言わない
rc-backend/tools/log-cap-live-appender-proof.sh	readback	載せた後に launchctl と実 file の大きさを読み直して、追記が続いている事を確かめる
rc-backend/tools/ota-undelivered-observer-control.sh	sandbox	2026-09-09 に砂場へ移した。Z が『変異は起きた、なのに実物は無傷』の連言を確かめる
rc-backend/tools/parity-observer-control.sh	sandbox	同上。実物は読むだけで、変異は砂場の写しに当てる
rc-backend/tools/post-gate-batch.sh	readback	各段の後に遠隔の状態を読み、不在まで確認してから次へ進む(dry の印字にも読み直しの手順が出る)
rc-backend/tools/rollback-friday.sh	readback	書き戻した後 healthz が期待の版を名乗るまで確かめ、名乗らなければ別の文言で赤にする
rc-backend/tools/run-controls.sh	readback	各対照の終了コードと出力を読み、台帳へ落とす。3 値(緑/赤/未測定)を潰さない
rc-backend/tools/verify-on-edith.sh	readback	停止を主張する前に launchctl と残留プロセスを読み直す(F3 由来の verifier)
rc-backend/tools/verify-rc-backend-state.sh	readback	launchctl と pid と実プロセスを遠隔で読み直す。手元の JOB と remote の job= の一致も走る前に確かめる
ios/tools/adhoc-ota.sh	readback	置いた後に段 6 が manifest / ipa / 頁 を外から取り直し、版と bundle id の一致まで見る
ios/tools/bar-material-control.sh	sandbox	砂場の写しだけを変異させ、走行の最後に走る前のバイトと一致する事を確かめる
ios/tools/build.sh	readback	焼いた後に成果物の存在と刻印(RC_BUILD_REV)を読み直し、作業木の汚れも別に測る
ios/tools/composer-surface-control.sh	sandbox	同上。共有の復旧区間を持ち、mutation-recovery-copy.test.mjs が全対照の一字一句一致を縛る
ios/tools/conversation-landing-stress-control.sh	readback	2026-09-09 に足した。破壊口を差した後に読み戻し、差さらなければ赤ではなく測定不成立にする
ios/tools/conversation-ui-control.sh	sandbox	同上。砂場の写しを変異させ、最後にバイト一致で確認する
ios/tools/inflight-sentence-control.sh	sandbox	同上。変異ごとに restore_all を通し、最後に的の file のバイトを突き合わせる
ios/tools/initial-load-narration-control.sh	readback	変異は複製に当て、最後に本物の木が無傷である事を grep で確かめる
ios/tools/list-return-refresh-control.sh	sandbox	同上。砂場の写しだけを触り、走行の最後に一致を確かめる
ios/tools/mutation-deferral-control.sh	readback	繰り延べた対照が後で本当に走った事を台帳から読み直す
ios/tools/mutation-residue-check.sh	readback	戻した後に git diff を取り直し、差が残っていれば『戻せていない』として赤にする
ios/tools/mutation-residue-controls.sh	readback	作り木の上で、戻した結果を読み直して確かめる
ios/tools/mutation-sandbox.sh	atomic	砂場の錠も mkdir。同期は rsync --delete の後に指紋を突き合わせ、走行後に本物側の指紋を取り直す
ios/tools/shots.sh	readback	2026-09-09 に足した。install の終了コードを見て、撮った png が空でない事も 1 枚ずつ確かめる
ios/tools/signout-notice-control.sh	sandbox	同上。共有の復旧区間を持ち、Z で走る前のバイトと突き合わせる
ios/tools/ui-fixture-behavior-control.sh	readback	差した面が実際に出た事を検査の結果から読み直す
ios/tools/uitest-orphan-surface-control.sh	sandbox	同上。2026-09-09 新設。Z が対象 2 file のバイト一致を確かめる
ios/tools/xcode-tree-lock.sh	atomic	錠は mkdir の原子性そのもの。既に在れば失敗するので、取得の成否は別に読み直す物ではない
